"","leg_id","full_name","first_name","middle_name","last_name","suffixes","nickname","active","state.x","chamber.x","district.x","party.x","photo_url","created_at","updated_at","type","term","committee_id","committee","subcommittee","start_date","end_date"
"26","TXL000278","Abel Herrero","Abel","","Herrero","","",TRUE,"tx","lower",34,"Democratic","http://www.house.state.tx.us/photos/members/3140.jpg","2010-06-19 03:51:42.358000","2017-06-01 10:38:26.326000","member",85,"","","",NA,""
"27","TXL000283","Donna Howard","Donna","","Howard","","",TRUE,"tx","lower",48,"Democratic","http://www.house.state.tx.us/photos/members/3310.jpg","2010-06-19 03:51:42.371000","2017-06-01 10:38:26.823000","member",85,"","","",NA,""
"28","TXL000286","Todd Hunter","Todd","","Hunter","","",TRUE,"tx","lower",32,"Republican","http://www.house.state.tx.us/photos/members/3365.jpg","2010-06-19 03:51:42.379000","2017-06-01 10:38:26.820000","member",85,"","","",NA,""
"29","TXL000289","Eric Johnson","Eric","","Johnson","","",TRUE,"tx","lower",100,"Democratic","http://www.house.state.tx.us/photos/members/3345.jpg","2010-06-19 03:51:42.386000","2017-06-01 10:38:26.457000","member",85,"","","",NA,""
"30","TXL000294","Tracy King","Tracy O.","","King","","",TRUE,"tx","lower",80,"Democratic","http://www.house.state.tx.us/photos/members/3465.jpg","2010-06-19 03:51:42.400000","2017-06-01 10:38:26.605000","member",85,"","","",NA,""
"31","TXL000295","Phil King","Phil","","King","","",TRUE,"tx","lower",61,"Republican","http://www.house.state.tx.us/photos/members/3470.jpg","2010-06-19 03:51:42.402000","2017-06-01 10:38:26.672000","member",85,"","","",NA,""
"32","TXL000299","Jodie Laubenberg","Jodie","","Laubenberg","","",TRUE,"tx","lower",89,"Republican","http://www.house.state.tx.us/photos/members/3540.jpg","2010-06-19 03:51:42.413000","2017-06-01 10:38:26.172000","member",85,"","","",NA,""
"33","TXL000308","Armando Martinez","Armando """"Mando""""","","Martinez","","",TRUE,"tx","lower",39,"Democratic","http://www.house.state.tx.us/photos/members/3780.jpg","2010-06-19 03:51:42.436000","2017-06-01 10:38:26.559000","member",85,"","","",NA,""
"34","TXL000317","Joseph Moody","Joe","","Moody","","",TRUE,"tx","lower",78,"Democratic","http://www.house.state.tx.us/photos/members/3850.jpg","2010-06-19 03:51:42.493000","2017-06-01 10:38:26.235000","member",85,"","","",NA,""
"35","TXL000318","Geanie Morrison","Geanie W.","","Morrison","","",TRUE,"tx","lower",30,"Republican","http://www.house.state.tx.us/photos/members/3870.jpg","2010-06-19 03:51:42.496000","2017-06-01 10:38:26.533000","member",85,"","","",NA,""
"36","TXL000320","Rene Oliveira","René O.","","Oliveira","","",TRUE,"tx","lower",37,"Democratic","http://www.house.state.tx.us/photos/members/3880.jpg","2010-06-19 03:51:42.502000","2017-06-01 10:35:57.523000","member",85,"","","",NA,""
"37","TXL000325","Tan Parker","Tan","","Parker","","",TRUE,"tx","lower",63,"Republican","http://www.house.state.tx.us/photos/members/4090.jpg","2010-06-19 03:51:42.517000","2017-06-01 10:38:26.788000","member",85,"","","",NA,""
"38","TXL000329","Larry Phillips","Larry","","Phillips","","",TRUE,"tx","lower",62,"Republican","http://www.house.state.tx.us/photos/members/4160.jpg","2010-06-19 03:51:42.529000","2017-06-01 10:38:26.129000","member",85,"","","",NA,""
"39","TXL000331","Joe Pickett","Joe C.","","Pickett","","",TRUE,"tx","lower",79,"Democratic","http://www.house.state.tx.us/photos/members/4180.jpg","2010-06-19 03:51:42.535000","2017-06-01 10:35:57.466000","member",85,"","","",NA,""
